排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
89,Raft, 68.00,"特别好评,119,844 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_globaltopsellers_150_4
90,战地风云? 2042, 248.00,暂无评价！,https://store.steampowered.com/app/1517290/_2042/?snr=1_7_7_globaltopsellers_150_4
91,Metro Saga Bundle,86.17,"特别好评,148,463 篇用户的捆绑包游戏评测中有 88% 为好评。",https://store.steampowered.com/bundle/13326/Metro_Saga_Bundle/?snr=1_7_7_globaltopsellers_150_4
92,Gloomhaven, 103.00,"特别好评,5,288 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_globaltopsellers_150_4
93,Tom Clancy's Rainbow Six? Siege,35.20,"特别好评,828,864 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_globaltopsellers_150_4
94,Left 4 Dead Bundle,11.10,"好评如潮,416,326 篇用户的捆绑包游戏评测中有 97% 为好评。",https://store.steampowered.com/bundle/233/Left_4_Dead_Bundle/?snr=1_7_7_globaltopsellers_150_4
95,DayZ,119.40,"褒贬不一,232,649 篇用户的游戏评测中有 69% 为好评。",https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_globaltopsellers_150_4
96,无主之地3,65.67,"特别好评,67,831 篇用户的游戏评测中有 83% 为好评。",https://store.steampowered.com/app/397540/3/?snr=1_7_7_globaltopsellers_150_4
97,The Outer Worlds,65.67,"特别好评,13,462 篇用户的游戏评测中有 85% 为好评。",https://store.steampowered.com/app/578650/The_Outer_Worlds/?snr=1_7_7_globaltopsellers_150_4
98,State of Decay 2: Juggernaut Edition,59.40,"特别好评,24,176 篇用户的游戏评测中有 80% 为好评。",https://store.steampowered.com/app/495420/State_of_Decay_2_Juggernaut_Edition/?snr=1_7_7_globaltopsellers_150_4
99,Monster Hunter: World,133.98,"特别好评,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_globaltopsellers_150_4
100,永劫无间, 98.00,"特别好评,52,347 篇用户的游戏评测中有 80% 为好评。",https://store.steampowered.com/app/1203220/_/?snr=1_7_7_globaltopsellers_150_4
101,RimWorld,92.70,"好评如潮,96,741 篇用户的游戏评测中有 98% 为好评。",https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_globaltopsellers_150_5
102,喋血复仇, 298.00,"多半好评,11,315 篇用户的游戏评测中有 77% 为好评。",https://store.steampowered.com/app/924970/_/?snr=1_7_7_globaltopsellers_150_5
103,Celeste,17.00,"好评如潮,38,533 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/504230/Celeste/?snr=1_7_7_globaltopsellers_150_5
104,Gang Beasts,30.60,"多半好评,26,941 篇用户的游戏评测中有 77% 为好评。",https://store.steampowered.com/app/285900/Gang_Beasts/?snr=1_7_7_globaltopsellers_150_5
105,Sid Meier’s Civilization? VI,29.85,"特别好评,130,850 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_globaltopsellers_150_5
106,仙剑奇侠传七, 128.00,"多半好评,4,440 篇用户的游戏评测中有 70% 为好评。",https://store.steampowered.com/app/1543030/_/?snr=1_7_7_globaltopsellers_150_5
107,Assetto Corsa Ultimate Edition,32.84,"特别好评,44,509 篇用户的捆绑包游戏评测中有 91% 为好评。",https://store.steampowered.com/bundle/6998/Assetto_Corsa_Ultimate_Edition/?snr=1_7_7_globaltopsellers_150_5
108,Baldur's Gate 3, 298.00,"特别好评,41,099 篇用户的游戏评测中有 88% 为好评。",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_globaltopsellers_150_5
